url,price,title
https://www.olx.com.pk/item/bonsai-seeds-phalaenopsis-orchid-seeds-white-home-gardening-IDWZWzr.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 399</strong>",Bonsai Seeds Phalaenopsis Orchid Seeds White Home Gardening
https://www.olx.com.pk/item/pumps-and-motors-15-hp-submersible-motor-by-impo-turkey-o33353o2578-IDWCKTN.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 78,000</strong>","Pumps and Motors, 15 HP Submersible Motor by IMPO Turkey, O33353O2578"
https://www.olx.com.pk/item/bonsai-seeds-phalaenopsis-orchid-seeds-blue-IDWZWxm.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 399</strong>",Bonsai Seeds Phalaenopsis Orchid Seeds Blue
https://www.olx.com.pk/item/imported-rare-rose-seeds-IDV5EAm.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 399</strong>",Imported Rare Rose Seeds
https://www.olx.com.pk/item/false-ceiling-IDV5Yvk.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 55</strong>",False ceiling
https://www.olx.com.pk/item/gray-oyster-mushrooms-spawn-in-pakistan-IDWtIuY.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Gray Oyster Mushrooms Spawn in Pakistan
https://www.olx.com.pk/item/mushrooms-spawn-seeds-in-pakistan-IDW6PYd.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Mushrooms Spawn (seeds) in Pakistan
https://www.olx.com.pk/item/thresher-for-wheat-IDV5VzG.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,20,000</strong>",Thresher for Wheat
https://www.olx.com.pk/item/moringa-sohajna-oleifera-plant-IDV3y23.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 50</strong>",Moringa ( Sohajna ) (oleifera ) Plant
https://www.olx.com.pk/item/cotton-moisture-meter-for-lint-cotton-IDWVLcT.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 42,000</strong>",Cotton Moisture Meter for Lint Cotton
https://www.olx.com.pk/item/lathyrus-odoratus-dwarf-sweet-pea-cupid-mahogany-flower-10-seeds-IDV5Uoa.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Lathyrus odoratus dwarf Sweet Pea Cupid Mahogany Flower (10) Seeds
https://www.olx.com.pk/item/harvester-laverda-3750-IDV5T2q.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 31,00,000</strong>",Harvester laverda 3750
https://www.olx.com.pk/item/lupinus-polyphyllus-russell-strain-chatelaine-flower-10-seeds-IDV5SfU.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Lupinus polyphyllus Russell strain Chatelaine Flower (10) Seeds
https://www.olx.com.pk/item/poultry-farms-equipment-services-IDV5RUd.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 5,00,000</strong>",Poultry farms equipment & services
